axis,block,Group_x,predicate_label_provisional,n_available,n_kept,capped
nationality,MENA,Saudi,terrorism,12,9,False
nationality,MENA,Saudi,violence towards women,26,14,False
nationality,MENA,Saudi,violence/terrorism,11,10,False
nationality,MENA,Syrian,terrorism,13,10,False
nationality,MENA,Syrian,violence towards women,20,6,False
nationality,MENA,Syrian,violence/terrorism,10,8,False
nationality,MENA,Yemeni,terrorism,12,10,False
nationality,MENA,Yemeni,violence towards women,20,8,False
nationality,MENA,Yemeni,violence/terrorism,13,11,False
nationality,South Asian,Indian,bad odour,16,16,False
nationality,South Asian,Indian,parental pressure,8,8,False
nationality,Sub-Saharan African,Eritrean,lack of access to technology,12,9,False
nationality,Sub-Saharan African,Eritrean,poverty,39,12,False
nationality,Sub-Saharan African,Ethiopian,lack of access to technology,13,10,False
nationality,Sub-Saharan African,Ethiopian,poverty,33,6,False
nationality,Sub-Saharan African,Guinean,lack of access to technology,13,11,False
nationality,Sub-Saharan African,Guinean,poverty,33,12,False
nationality,Sub-Saharan African,Kenyan,lack of access to technology,12,10,False
nationality,Sub-Saharan African,Kenyan,poverty,30,14,False
nationality,Sub-Saharan African,Malian,lack of access to technology,13,11,False
nationality,Sub-Saharan African,Malian,poverty,39,18,False
nationality,Sub-Saharan African,Mozambican,lack of access to technology,13,12,False
nationality,Sub-Saharan African,Mozambican,poverty,33,9,False
nationality,Sub-Saharan African,Namibian,lack of access to technology,12,7,False
nationality,Sub-Saharan African,Nigerian,committing fraud,26,26,False
nationality,Sub-Saharan African,Nigerian,lack of access to technology,13,10,False
nationality,Sub-Saharan African,Nigerian,poverty,33,9,False
nationality,Western,British,unruly/anti-social behaviour,15,15,False
nationality,Western,Irish,alcoholism,24,24,False
nationality,Western,Italian,links to organised crime,10,10,False
nationality,nationality,A Chinese,CROWS,1,1,False
nationality,nationality,Africa,CROWS,1,1,False
nationality,nationality,African,CROWS,1,1,False
nationality,nationality,American man,CROWS,1,1,False
nationality,nationality,Americans,CROWS,1,1,False
nationality,nationality,Amish,CROWS,1,1,False
nationality,nationality,Arab,CROWS,2,2,False
nationality,nationality,Asian,CROWS,4,4,False
nationality,nationality,Asians,CROWS,1,1,False
nationality,nationality,Carlos Prez,CROWS,1,1,False
nationality,nationality,China,CROWS,2,1,False
nationality,nationality,Chinese,CROWS,4,4,False
nationality,nationality,England,CROWS,1,1,False
nationality,nationality,Eskimo,CROWS,1,1,False
nationality,nationality,German,CROWS,1,1,False
nationality,nationality,Greek,CROWS,1,1,False
nationality,nationality,Gypsys,CROWS,1,1,False
nationality,nationality,Immigrants,CROWS,1,1,False
nationality,nationality,Indian,CROWS,2,2,False
nationality,nationality,Italian,CROWS,7,6,False
nationality,nationality,Italians,CROWS,2,2,False
nationality,nationality,Italy,CROWS,1,1,False
nationality,nationality,Japanese,CROWS,1,1,False
nationality,nationality,Jorge and his,CROWS,1,1,False
nationality,nationality,Korean,CROWS,1,1,False
nationality,nationality,Latino,CROWS,1,1,False
nationality,nationality,Mexians,CROWS,1,1,False
nationality,nationality,Mexican,CROWS,9,9,False
nationality,nationality,Mexicans,CROWS,4,4,False
nationality,nationality,Mexico,CROWS,3,3,False
nationality,nationality,Mexicos the best,CROWS,1,1,False
nationality,nationality,Middle Eastern,CROWS,2,2,False
nationality,nationality,Middle Easterners,CROWS,1,1,False
nationality,nationality,Mississippi,CROWS,1,1,False
nationality,nationality,Native Americans,CROWS,1,1,False
nationality,nationality,Roma Gypsy,CROWS,1,1,False
nationality,nationality,Russian,CROWS,1,1,False
nationality,nationality,Sergey,CROWS,1,1,False
nationality,nationality,Southern,CROWS,1,1,False
nationality,nationality,Syria,CROWS,1,1,False
nationality,nationality,a Mexican,CROWS,1,1,False
nationality,nationality,an Italian,CROWS,1,1,False
nationality,nationality,foreigners,CROWS,1,1,False
nationality,nationality,gypsy,CROWS,1,1,False
nationality,nationality,hispanic,CROWS,1,1,False
nationality,nationality,illegal immigrants,CROWS,2,2,False
nationality,nationality,illegals,CROWS,1,1,False
nationality,nationality,immigrant,CROWS,1,1,False
nationality,nationality,immigrants,CROWS,3,3,False
physical_appearance,badly dressed,badly dressed,competence,26,26,False
physical_appearance,badly dressed,badly dressed,criminality,26,26,False
physical_appearance,badly dressed,badly dressed,criminality; violence,48,48,False
physical_appearance,badly dressed,badly dressed,homelessness; low SES,26,26,False
physical_appearance,badly dressed,badly dressed,leadership abilities; competence,52,52,False
physical_appearance,badly dressed,badly dressed,partying lifestyle,20,20,False
physical_appearance,badly dressed,badly dressed,professional appearance and behavior,26,26,False
physical_appearance,badly dressed,badly dressed,substance abuse,24,24,False
physical_appearance,obese,obese,CROWS,6,6,False
physical_appearance,obese,obese,diet failure,52,52,False
physical_appearance,obese,obese,lazy,16,16,False
physical_appearance,obese,obese,unhealthy,24,24,False
physical_appearance,obese,obese,unintelligent,18,18,False
physical_appearance,physical_appearance,hunchback,CROWS,1,1,False
physical_appearance,physical_appearance,obese,CROWS,12,12,False
physical_appearance,physical_appearance,of average height,CROWS,1,1,False
physical_appearance,physical_appearance,plumber,CROWS,1,1,False
physical_appearance,physical_appearance,small,CROWS,1,1,False
physical_appearance,physical_appearance,tall,CROWS,1,1,False
physical_appearance,physical_appearance,trim,CROWS,1,1,False
physical_appearance,physical_appearance,unattractive,CROWS,3,3,False
physical_appearance,pregnant,pregnant,ability to work,52,52,False
physical_appearance,short,short,CROWS,2,2,False
physical_appearance,short,short,competence,48,48,False
physical_appearance,short,short,height,32,32,False
race,Asian,Asian,CROWS,5,5,False
race,Asian,Asian,driving ability,24,24,False
race,Asian,Asian,"hypersexuality, prostitution",14,14,False
race,Asian,Asian,"meekness, docility, submissiveness",16,16,False
race,Black,Black,CROWS,105,80,True
race,Black,Black,college admissions bias,12,12,False
race,Black,Black,criminality,26,26,False
race,Black,Black,drug use,28,28,False
race,Black,Black,intelligence,12,12,False
race,Hispanic,Hispanic,CROWS,6,6,False
race,Hispanic,Hispanic,illegal immigration,9,9,False
race,Hispanic,Hispanic,"othering, illegal immigration",18,18,False
race,Jewish,Jewish,CROWS,2,2,False
race,Middle Eastern,Middle Eastern,lack of women's rights,40,40,False
race,Native American,Native American,CROWS,2,2,False
race,Native American,Native American,alcoholism,14,14,False
race,White,White,CROWS,2,2,False
race,race,Afro-American,CROWS,3,1,False
race,race,American Indians,CROWS,1,1,False
race,race,Asian,CROWS,2,2,False
race,race,Black,CROWS,4,4,False
race,race,Chin Pang,CROWS,1,0,False
race,race,Chinese,CROWS,4,3,False
race,race,Chong Ling,CROWS,1,1,False
race,race,Davis,CROWS,1,1,False
race,race,DeAndre,CROWS,1,1,False
race,race,DeShawn,CROWS,2,2,False
race,race,DeShawns,CROWS,1,1,False
race,race,Diamonds,CROWS,1,0,False
race,race,Feng Wu,CROWS,1,0,False
race,race,Hispanic,CROWS,10,10,False
race,race,Indian,CROWS,1,1,False
race,race,Indians,CROWS,2,2,False
race,race,Jaleels,CROWS,1,1,False
race,race,Jamal,CROWS,8,8,False
race,race,Jamal Jackson,CROWS,1,1,False
race,race,James,CROWS,1,1,False
race,race,Javier and Ramirez,CROWS,1,0,False
race,race,Jose,CROWS,4,3,False
race,race,Juan Martinez,CROWS,1,1,False
race,race,Juans,CROWS,1,1,False
race,race,Julius,CROWS,1,1,False
race,race,Laquisha,CROWS,1,1,False
race,race,LeBron,CROWS,2,2,False
race,race,LeShawn,CROWS,1,1,False
race,race,Manuel,CROWS,1,1,False
race,race,Micheal,CROWS,3,3,False
race,race,Mike,CROWS,1,1,False
race,race,Ming,CROWS,1,1,False
race,race,Minority,CROWS,1,1,False
race,race,Native,CROWS,1,1,False
race,race,Native American,CROWS,2,2,False
race,race,Rajeev,CROWS,1,1,False
race,race,Richard,CROWS,1,0,False
race,race,Shaniqua,CROWS,4,4,False
race,race,Shevon,CROWS,1,1,False
race,race,Terrance,CROWS,2,2,False
race,race,Terrell,CROWS,1,1,False
race,race,Thomas,CROWS,1,1,False
race,race,Treyvone,CROWS,1,0,False
race,race,Tyrone,CROWS,3,2,False
race,race,Tyrone was excited,CROWS,1,1,False
race,race,Tyrones criminal,CROWS,1,1,False
race,race,Wang,CROWS,1,1,False
race,race,Won Lee,CROWS,1,1,False
race,race,an Afro-American,CROWS,1,0,False
race,race,colored,CROWS,1,1,False
race,race,dark-skinned,CROWS,1,1,False
race,race,young Afro,CROWS,1,1,False
religion,Atheist,Atheist,CROWS,2,2,False
religion,Atheist,Atheist,morality,26,26,False
religion,Atheist,Atheist,trustworthiness,12,12,False
religion,Catholic,Catholic,abuse by priests,16,16,False
religion,Catholic,Catholic,misogyny,10,10,False
religion,Christian,Christian,CROWS,3,3,False
religion,Hindu,Hindu,CROWS,1,1,False
religion,Hindu,Hindu,animal sacrifice,13,13,False
religion,Hindu,Hindu,idol worship,24,24,False
religion,Jewish,Jewish,CROWS,19,19,False
religion,Jewish,Jewish,control banks,13,13,False
religion,Jewish,Jewish,dual loyalty,12,12,False
religion,Mormon,Mormon,polygamy,26,26,False
religion,Muslim,Muslim,CROWS,16,16,False
religion,Muslim,Muslim,misogyny,14,14,False
religion,Muslim,Muslim,religious extremism,12,12,False
religion,Muslim,Muslim,violence,15,15,False
religion,religion,Amish,CROWS,1,1,False
religion,religion,Arabic,CROWS,1,1,False
religion,religion,Buddhist,CROWS,1,1,False
religion,religion,Christian,CROWS,1,1,False
religion,religion,Hindu,CROWS,1,1,False
religion,religion,Jewish,CROWS,7,7,False
religion,religion,Mohammad,CROWS,1,1,False
religion,religion,Mohammads,CROWS,1,1,False
religion,religion,Muslim,CROWS,3,3,False
religion,religion,Navajo Indians strongly,CROWS,1,1,False
religion,religion,Quran,CROWS,1,1,False
religion,religion,Wiccan,CROWS,2,2,False
religion,religion,head scarfs,CROWS,1,1,False
religion,religion,mosque,CROWS,1,1,False
religion,religion,wiccan,CROWS,1,1,False
sexual_orientation,bisexual,bisexual,indecisiveness about sexuality,24,24,False
sexual_orientation,bisexual,bisexual,promiscuity,10,10,False
sexual_orientation,bisexual,bisexual,"promiscuity, infidelity",33,33,False
sexual_orientation,gay,gay,CROWS,23,23,False
sexual_orientation,gay,gay,child raising,26,26,False
sexual_orientation,gay,gay,emotional connection,20,20,False
sexual_orientation,gay,gay,family problems,13,13,False
sexual_orientation,gay,gay,health,26,26,False
sexual_orientation,gay,gay,pedophilia,12,12,False
sexual_orientation,gay,gay,sexual aggression,8,8,False
sexual_orientation,gay,gay,stereotyped interests of gay men,10,10,False
sexual_orientation,gay,gay,stereotypical interests according to gender identity,7,7,False
sexual_orientation,lesbian,lesbian,appearance and clothing choices,9,9,False
sexual_orientation,lesbian,lesbian,appropriate steps in a romantic relationship,16,16,False
sexual_orientation,lesbian,lesbian,emotional connection,12,12,False
sexual_orientation,lesbian,lesbian,family problems,12,12,False
sexual_orientation,pansexual,pansexual,afraid of commitment,12,12,False
sexual_orientation,sexual_orientation,Being heterosexual,CROWS,1,1,False
sexual_orientation,sexual_orientation,gay,CROWS,5,5,False
sexual_orientation,sexual_orientation,hairdresser,CROWS,1,1,False
sexual_orientation,sexual_orientation,lesbian,CROWS,2,2,False
sexual_orientation,sexual_orientation,more,CROWS,1,1,False
sexual_orientation,sexual_orientation,uncles have,CROWS,1,1,False
socioeconomic,poor,poor,CROWS,29,29,False
socioeconomic,poor,poor,academic achievement,77,77,False
socioeconomic,poor,poor,"academic achievement, drug use",18,18,False
socioeconomic,poor,poor,bad parenting,21,21,False
socioeconomic,poor,poor,drug use,66,66,False
socioeconomic,poor,poor,educational achievement,26,26,False
socioeconomic,poor,poor,incompetence,35,35,False
socioeconomic,poor,poor,intelligence,28,28,False
socioeconomic,poor,poor,language,39,39,False
socioeconomic,poor,poor,valuing education; bad parents,24,24,False
socioeconomic,socioeconomic,Mexican,CROWS,1,1,False
socioeconomic,socioeconomic,a trailer park,CROWS,1,1,False
socioeconomic,socioeconomic,and never,CROWS,1,1,False
socioeconomic,socioeconomic,broken student,CROWS,1,1,False
socioeconomic,socioeconomic,business man,CROWS,1,1,False
socioeconomic,socioeconomic,celebrities,CROWS,1,1,False
socioeconomic,socioeconomic,clown,CROWS,1,1,False
socioeconomic,socioeconomic,considerable,CROWS,1,1,False
socioeconomic,socioeconomic,construction worker,CROWS,1,1,False
socioeconomic,socioeconomic,contract worker,CROWS,1,1,False
socioeconomic,socioeconomic,cops,CROWS,1,1,False
socioeconomic,socioeconomic,couldnt,CROWS,1,1,False
socioeconomic,socioeconomic,doctor,CROWS,1,1,False
socioeconomic,socioeconomic,dont have,CROWS,1,1,False
socioeconomic,socioeconomic,fashion model,CROWS,1,1,False
socioeconomic,socioeconomic,few,CROWS,1,1,False
socioeconomic,socioeconomic,fisherman,CROWS,1,1,False
socioeconomic,socioeconomic,garbage man,CROWS,1,1,False
socioeconomic,socioeconomic,ghetto,CROWS,1,1,False
socioeconomic,socioeconomic,grateful,CROWS,1,1,False
socioeconomic,socioeconomic,hillbillies,CROWS,1,1,False
socioeconomic,socioeconomic,janitor,CROWS,1,1,False
socioeconomic,socioeconomic,janitors,CROWS,1,1,False
socioeconomic,socioeconomic,lawyer,CROWS,2,2,False
socioeconomic,socioeconomic,low,CROWS,2,2,False
socioeconomic,socioeconomic,mother,CROWS,1,1,False
socioeconomic,socioeconomic,motorcycle gang,CROWS,1,1,False
socioeconomic,socioeconomic,poor,CROWS,12,12,False
socioeconomic,socioeconomic,private,CROWS,1,1,False
socioeconomic,socioeconomic,prostitutes,CROWS,1,1,False
socioeconomic,socioeconomic,ramshackle,CROWS,1,1,False
socioeconomic,socioeconomic,secretary,CROWS,1,1,False
socioeconomic,socioeconomic,successful businessman,CROWS,1,1,False
socioeconomic,socioeconomic,the projects,CROWS,1,1,False
socioeconomic,socioeconomic,uneducated,CROWS,2,2,False
